LabNumber	SiteProvince	DistrictName	EpiWeek	SampleCollectionDate	Sequence_ID	SiteName	Lineages	Abundances
COV-23-1164	KwaZulu-Natal	Ethekwini MM	46.0	2023-11-13	COV-23-1164	Northern Wastewater Treatment Works (KZN)	BA.2.86.X XBB.X JN.1.X XBB.1.5.X BA.2.X Recombinants	[0.5847771700000001, 0.119048, 0.12701526, 0.09294611, 0.03527779, 0.0409356]
COV-22-151	KwaZulu-Natal	Ethekwini MM	18.0	2022-05-03	COV-22-151	Central Wastewater Treatment Works (KZN)	Delta BA.5.X BA.4.X BA.2.X XBB.X BA.2.12.X JN.1.X Other Recombinants	[0.36132970999999975, 0.5826688900000003, 0.05457152000000001, 0.00016127000000000003, 2.18e-05, 7.85e-06, 3.42e-06, 0.00098707, 0.00024847000000000004]
COV-24-0699	Gauteng	Ekurhuleni MM	15.0	2024-04-11	COV-24-0699	Midstream	JN.1.X BA.2.86.X Recombinants Other	[0.8416501399999997, 0.15765976, 0.00054003, 0.00015001]
COV-23-1136	Gauteng	Ekurhuleni MM	45.0	2023-11-09	COV-23-1136	Olifantsfontein	BA.2.86.X XBB.X JN.1.X BA.2.X XBB.1.5.X BA.5.X LB.1.3.X Recombinants Other	[0.7505525899999999, 0.14266222000000003, 0.08103664999999997, 0.01772182999999999, 0.006246220000000002, 0.00029738, 9.545e-05, 0.0011465099999999999, 0.00024101000000000003]
COV-22-154	Gauteng	Johannesburg MM	19.0	2022-05-09	COV-22-154	Goudkoppies Wastewater Treatment Works	BA.5.X BA.4.X Delta Other	[0.43227791, 0.45328499999999994, 0.08060298, 0.03383393]
COV-23-0846	Eastern Cape	Buffalo City MM	38.0	2023-09-12	COV-23-0846	Mdantsane Wastewater Treatment Works	BA.2.X BA.4.X XBB.X JN.1.X BA.5.X XBB.1.5.X BA.1.X KP.3.X Delta KP.1.X Recombinants Other	[0.9936064300000002, 0.00555253, 0.00076449, 4.14e-06, 3.720000000000001e-06, 1.43e-06, 3.9e-07, 3.4e-07, 4.3e-07, 3.4000000000000003e-07, 7.767e-05, 1.558e-05]
COV-22-156	KwaZulu-Natal	Ethekwini MM	19.0	2022-05-09	COV-22-156	Central Wastewater Treatment Works (KZN)	Delta BA.5.X BA.2.X BA.4.X BA.1.X Recombinants Other	[0.17492186, 0.6457607999999999, 0.07886116, 0.041796040000000007, 6.63e-05, 0.04706026, 0.01153294]
COV-22-266	Gauteng	Tshwane MM	38.0	2022-09-20	COV-22-266	Daspoort Wastewater Treatment Works	BA.5.X BA.4.X BA.1.X BA.2.X Recombinants Other	[0.9047242, 0.09205747, 0.00105086, 0.0001684, 0.00172311, 0.00027594999999999996]
COV-22-159	Free State	Mangaung MM	19.0	2022-05-10	COV-22-159	Bloemspruit Wastewater Treatment Works	BA.4.X BA.5.X BA.2.X Other Recombinants	[0.6712035999999999, 0.29513818999999997, 0.0171186, 0.01121495, 0.005324570000000001]
COV-23-0955	Gauteng	Tshwane MM	41.0	2023-10-10	COV-23-0955	Vergenoeg	BA.2.86.X BA.2.X XBB.X Recombinants Other	[0.9993248599999998, 0.00046894, 5.2e-07, 0.00020569, 1.96e-06]
