,Other,Recombinants,Delta,BA.1.X,BA.2.X,BA.2.12.X,BA.4.X,BA.5.X,XBB.X,XBB.1.5.X,BA.2.86.X,JN.1.X,KP.1.X,KP.3.X,LB.1.3.X,LB.1.3.4.X,XEC.X,LP.8.1.X,XFG.X,NB.1.8.1.X,BA.3.2.X
2022-03-09,0.015874828124999962,0.09949171437499998,0.062683951875,0.009772629374999996,0.6676274931249999,6.49775e-05,0.121887039375,0.022549171875,3.2465625e-05,6.37125e-06,1.246875e-06,1.86375e-06,0.0,6.246874999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,0.015874828124999962,0.09949171437499998,0.062683951875,0.009772629374999996,0.6676274931249999,6.49775e-05,0.121887039375,0.022549171875,3.2465625e-05,6.37125e-06,1.246875e-06,1.86375e-06,0.0,6.246874999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,0.015874828124999962,0.09949171437499998,0.062683951875,0.009772629374999996,0.6676274931249999,6.49775e-05,0.121887039375,0.022549171875,3.2465625e-05,6.37125e-06,1.246875e-06,1.86375e-06,0.0,6.246874999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,0.015874828124999962,0.09949171437499998,0.062683951875,0.009772629374999996,0.6676274931249999,6.49775e-05,0.121887039375,0.022549171875,3.2465625e-05,6.37125e-06,1.246875e-06,1.86375e-06,0.0,6.246874999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,0.015874828124999962,0.09949171437499998,0.062683951875,0.009772629374999996,0.6676274931249999,6.49775e-05,0.121887039375,0.022549171875,3.2465625e-05,6.37125e-06,1.246875e-06,1.86375e-06,0.0,6.246874999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,0.015874828124999962,0.09949171437499998,0.062683951875,0.009772629374999996,0.6676274931249999,6.49775e-05,0.121887039375,0.022549171875,3.2465625e-05,6.37125e-06,1.246875e-06,1.86375e-06,0.0,6.246874999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,0.01485135117647054,0.03511469705882354,0.058844274117647075,0.00919776882352941,0.5904425605882355,2.5402352941176473e-05,0.19645732529411766,0.09504731941176474,8.516470588235297e-06,5.727647058823531e-06,1.1735294117647061e-06,1.754117647058824e-06,0.0,2.129411764705882e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16,0.012046132380952328,0.03667430476190476,0.04764331380952382,0.0074458128571428545,0.5838398204761904,2.8988095238095233e-05,0.2257117242857143,0.0865910842857143,7.4304761904761906e-06,7.294761904761904e-06,9.5e-07,1.42e-06,0.0,1.7238095238095232e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,0.012046132380952328,0.03667430476190476,0.04764331380952382,0.0074458128571428545,0.5838398204761904,2.8988095238095233e-05,0.2257117242857143,0.0865910842857143,7.4304761904761906e-06,7.294761904761904e-06,9.5e-07,1.42e-06,0.0,1.7238095238095232e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18,0.012046132380952328,0.03667430476190476,0.04764331380952382,0.0074458128571428545,0.5838398204761904,2.8988095238095233e-05,0.2257117242857143,0.0865910842857143,7.4304761904761906e-06,7.294761904761904e-06,9.5e-07,1.42e-06,0.0,1.7238095238095232e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
